,u,v,key,osmid,bearing,length,oneway,indexway,from,to,geometry
206,2295507651,272435330,0,453962283,20.4,45.569,TRUE,37652,272435330,2295507651,"LINESTRING (100.5679649 13.7186971, 100.5681117 13.7190813)"
207,304300736,304300748,0,156261422,185,38.791,TRUE,9358,304300748,304300736,"LINESTRING (100.5647996 13.7238641, 100.564768 13.7235166)"
208,5678756062,270329466,0,156261422,6.2,33.463,TRUE,9348,270329466,5678756062,"LINESTRING (100.5646013 13.7216618, 100.5646346 13.721961)"
209,304300748,270329468,0,156261422,184.8,112.271,TRUE,9363,270329468,304300748,"LINESTRING (100.564887 13.7248702, 100.5647996 13.7238641)"
210,270329466,270329333,0,156261422,307.1,143.336,TRUE,9345,270329333,270329466,"LINESTRING (100.5656596 13.7208842, 100.5646013 13.7216618)"
211,270329330,3472799025,0,328942767,203.8,135.227,TRUE,8793,3472799025,270329330,"LINESTRING (100.5684323 13.7275717, 100.5679264 13.7264593)"
212,270329330,3472809326,0,328942767,23.8,45.004,TRUE,8796,3472809326,270329330,"LINESTRING (100.567758 13.7260891, 100.5679264 13.7264593)"
213,3472809326,3472808522,0,328942767,23.8,117.989,TRUE,41356,3472808522,3472809326,"LINESTRING (100.5673166 13.7251185, 100.567758 13.7260891)"
214,3472808522,3472827593,0,328942767,20.5,83.516,TRUE,41365,3472827593,3472808522,"LINESTRING (100.5670458 13.724415, 100.5673166 13.7251185)"
215,270329469,5112151182,0,156261422,10.2,43.357,TRUE,9366,5112151182,270329469,"LINESTRING (100.5649194 13.7250602, 100.5649902 13.725444)"
216,1686126903,3260338579,0,156261400,306.2,106.992,FALSE,9060,1686126903,3260338579,"LINESTRING (100.5955154 13.7120954, 100.5947164 13.712664)"
217,1686126903,2295521457,0,156261400,306.1,40.485,FALSE,9067,2295521457,1686126903,"LINESTRING (100.5958183 13.711881, 100.5955154 13.7120954)"
218,3260338579,3810777044,0,156261400,306,84.661,FALSE,9062,3260338579,3810777044,"LINESTRING (100.5947164 13.712664, 100.5940822 13.7131113)"
219,3810777044,3260338581,0,377691430,306.2,141.887,FALSE,9066,3810777044,3260338581,"LINESTRING (100.5940822 13.7131113, 100.5930222 13.7138648)"
220,313173111,4965416779,0,156591249,206.9,10.831,TRUE,16435,4965416779,313173111,"LINESTRING (100.5942106 13.7133128, 100.5941653 13.7132259)"
221,313173111,3260338580,0,300825126,126.6,84.442,FALSE,9069,313173111,3260338580,"LINESTRING (100.5941653 13.7132259, 100.5947926 13.7127728)"
222,313173111,2591644064,0,482404745,125.4,89.836,FALSE,32646,2591644064,313173111,"LINESTRING (100.5934872 13.7136936, 100.5941653 13.7132259)"
223,3260338581,1962192630,0,377691430,305,12.904,FALSE,9071,3260338581,1962192630,"LINESTRING (100.5930222 13.7138648, 100.5929243 13.7139313)"
224,4965416779,4367820134,0,156591249,198.9,25.263,TRUE,16439,4367820134,4965416779,"LINESTRING (100.5942865 13.7135277, 100.5942106 13.7133128)"
225,3260338580,61703339,0,300825126,126.6,94.869,FALSE,16437,3260338580,61703339,"LINESTRING (100.5947926 13.7127728, 100.5954974 13.7122638)"
226,270329333,6302880862,0,27702347,19.5,21.022,TRUE,9350,6302880862,270329333,"LINESTRING (100.5655946 13.720706, 100.5656596 13.7208842)"
227,270329468,5112151182,0,156261422,189.4,21.415,TRUE,9365,5112151182,270329468,"LINESTRING (100.5649194 13.7250602, 100.564887 13.7248702)"
228,267086960,267086965,0,693832668,199.4,277.858,TRUE,9425,267086965,267086960,"LINESTRING (100.5700516 13.7246011, 100.5691979 13.7222439)"
229,267086965,267086967,0,693832669,129.8,15.425,TRUE,9428,267086967,267086965,"LINESTRING (100.5699419 13.7246899, 100.5700516 13.7246011)"
230,267086967,272554629,0,693832669,115.7,57.133,TRUE,9430,272554629,267086967,"LINESTRING (100.5694654 13.7249129, 100.5699419 13.7246899)"
231,272554629,267086968,0,693832669,116.9,39.965,TRUE,9433,267086968,272554629,"LINESTRING (100.5691354 13.7250754, 100.5694654 13.7249129)"
232,267086968,5076544746,0,693832669,122.3,5.74,TRUE,9437,5076544746,267086968,"LINESTRING (100.5690905 13.725103, 100.5691354 13.7250754)"
233,5076544746,5076544745,0,693832669,148.5,4.278,TRUE,9440,5076544745,5076544746,"LINESTRING (100.5690698 13.7251358, 100.5690905 13.725103)"
234,5076544745,267086969,0,156261434,190,5.938,TRUE,9441,267086969,5076544745,"LINESTRING (100.5690793 13.7251884, 100.5690698 13.7251358)"
235,267086969,5076544757,0,156261434,205,37.657,TRUE,9443,5076544757,267086969,"LINESTRING (100.5692267 13.7254953, 100.5690793 13.7251884)"
236,5076544757,5076544760,0,156261434,205,20.54,TRUE,9447,5076544760,5076544757,"LINESTRING (100.5693071 13.7256627, 100.5692267 13.7254953)"
237,5076544760,5076544747,0,156261434,205,10.711,TRUE,9456,5076544747,5076544760,"LINESTRING (100.569349 13.72575, 100.5693071 13.7256627)"
